phrase,times,notes
"Паром в 09:00",09:00,transport russian
"Deadline 17:00",17:00,deadline
"Due by 5pm",17:00,deadline
"Submit before 23:59",23:59,deadline
"Finish by 18:00",18:00,deadline
"Complete by noon",12:00,deadline
"Hand in by 09:00",09:00,deadline
"Registration closes 17:00",17:00,deadline
"Application deadline 12:00",12:00,deadline
"Last submission 23:59",23:59,deadline
"Report due 14:00",14:00,deadline
"Дедлайн в 18:00",18:00,deadline russian
"Сдать до 23:59",23:59,deadline russian
"Закрытие регистрации в 12:00",12:00,deadline russian
"Reservation 20:00",20:00,restaurant
"Table for 2 at 7pm",19:00,restaurant
"Dinner reservation 19:30",19:30,restaurant
"Seating 18:30",18:30,restaurant
"Kitchen closes 22:30",22:30,restaurant
"Last orders 22:00",22:00,restaurant
"Brunch 11am",11:00,restaurant
"Lunch at 13:00",13:00,restaurant
"Столик на 20:00",20:00,restaurant russian
"Бронь на 19:30",19:30,restaurant russian
"Кухня закрывается в 23:00",23:00,restaurant russian
"Standup 10:15",10:15,agile meeting
"Daily at 09:30",09:30,agile meeting
"Retro 16:00",16:00,agile meeting
"Sprint planning 11:00",11:00,agile meeting
"Demo 15:00",15:00,agile meeting
"Sync 09:00",09:00,agile meeting
"1-on-1 at 14:00",14:00,meeting
"Check-in 10:00",10:00,meeting
"Kickoff 09:00",09:00,meeting
"Wrap-up 17:00",17:00,meeting
"Стендап в 10:00",10:00,agile russian
"Дейли в 09:30",09:30,agile russian
"Ретро в 16:00",16:00,agile russian
"Class starts 08:30",08:30,education
"Lecture 10:00",10:00,education
"Tutorial 14:00",14:00,education
"Seminar 13:30",13:30,education
"Lab 16:00",16:00,education
"Exam 09:00",09:00,education
"Office hours 15:00",15:00,education
"School ends 15:30",15:30,education
"Recess 10:15",10:15,education
"Graduation 11:00",11:00,education
"Урок в 08:30",08:30,education russian
"Лекция в 10:00",10:00,education russian
"Экзамен в 09:00",09:00,education russian
"Shipment ETA 14:00",14:00,logistics
"Pickup 10:00",10:00,logistics
"Delivery window 10:00-14:00",10:00;14:00,logistics range
"Dock appointment 06:00",06:00,logistics
"Warehouse opens 07:00",07:00,logistics
"Loading 08:00",08:00,logistics
"Dispatch 16:00",16:00,logistics
"Доставка в 14:00",14:00,logistics russian
"Склад открывается в 07:00",07:00,logistics russian
"Encontro às 14h30",14:30,portuguese
"Reunião às 9",09:00,portuguese
"Vamos às 18:00",18:00,portuguese
"Spotkanie o 17:00",17:00,polish
"Jestem wolny o 12:30",12:30,polish
"O której godzinie?",, negative - question without time
"Møte kl 10:30",10:30,norwegian
"Vi sees kl 18",18:00,norwegian
"Sastanak u 17:00",17:00,croatian
"Susret u 12:30",12:30,croatian
"Зустріч о 16:00",16:00,ukrainian
"о 9 ранку",09:00,ukrainian morning
"Întâlnire la 13:00",13:00,romanian
"Setkání v 11:00",11:00,czech
"Stretnutie o 14:30",14:30,slovak
"Tapaaminen klo 16:00",16:00,finnish
"Kello 9 aamulla",09:00,finnish morning
"Pertemuan jam 15:00",15:00,indonesian
"Port 8080",,negative - network port
"Port 443",,negative - network port
"Port 22",,negative - network port
"Status 200",,negative - http status
"Status 404",,negative - http status
"Status 500",,negative - http status
"Error 500",,negative - error code
"Error 404",,negative - error code
"Error code 503",,negative - error code
"HTTP 200",,negative - http code
"HTTP 301",,negative - http code
"Response 200 OK",,negative - http response
"Ticket #404",,negative - ticket number
"Ticket #1234",,negative - ticket number
"Issue #500",,negative - issue number
"PR #123",,negative - pull request
"Bug #456",,negative - bug number
"Task #789",,negative - task number
"Тикет #404",,negative - ticket russian
"Задача #123",,negative - task russian
"Wait 10s",,negative - duration seconds
"Wait 5 minutes",,negative - duration
"Timer 15m",,negative - timer duration
"Countdown 30s",,negative - countdown
"Delay 500ms",,negative - delay
"Timeout 30s",,negative - timeout
"Limit 50mph",,negative - speed limit
"Speed 100km/h",,negative - speed
"Pace 5:30/km",,negative - running pace
"Distance 10km",,negative - distance
"Height 6'1",,negative - height
"Weight 180lbs",,negative - weight
"Temp 98.6",,negative - temperature
"Room 303",,negative - room number
"Room 101",,negative - room number
"Floor 5",,negative - floor
"Seat 14A",,negative - seat
"Platform 9",,negative - platform
"Gate 24",,negative - gate
"Terminal 5",,negative - terminal
"Apollo 13",,negative - mission name
"Catch-22",,negative - book/movie title
"Ocean's 11",,negative - movie title
"District 9",,negative - movie title
"Страница 15",,negative - page russian
"Комната 303",,negative - room russian
"Версия 2.0",,negative - version russian
"Ошибка 500",,negative - error russian
"Can we do 12:15?",12:15,bare HH:MM question
"How about 14:00?",14:00,bare HH:MM question
"What about 3pm?",15:00,bare time question
"Is 10am good?",10:00,bare time question
"А как насчет 14:00?",14:00,bare HH:MM russian
"Может в 15:00?",15:00,bare time russian
"В 12:15 подойдет?",12:15,bare time russian
"Let's meet at 3pm",15:00,english standard
"I have 3 cats",,negative - number without time context
"Deadline 5pm sharp",17:00,label + time
"Пожалуйста проверь тикет #404",,negative - ticket number
"Версия приложения 3.5.1",,negative - version
"Счёт матча 3:2 в нашу пользу",,negative - sports score
"Заказ 12345 уже отправлен",,negative - order number
"Скидка 20% до конца недели",,negative - percentage
"Позвони по 8-800-555-35-35",,negative - phone number
"Координаты: 55.7558, 37.6173",,negative - coordinates
"Аспект 16:9 подойдёт",,negative - aspect ratio
"ETA прибытия 14:00",14:00,label + time russian
"Kickoff матча в 20:45",20:45,sports event time
"Созвон завтра часиков в 5?",17:00,russian colloquial
"Halb drei passt mir",14:30,german half past
"Rendez-vous à midi",12:00,french noon
"Zoom в 3?",15:00,short question
"Issue #500 needs attention",,negative - ticket english
"Page 15 has the error",,negative - page english
"Order #567 is delayed",,negative - order english
"Call +44 20 7946 0958",,negative - phone english
"iOS 17 beta",,negative - version
"Score 25-23 final",,negative - sports score english
"Price is $14.99",,negative - price
"Discount 15% until Sunday",,negative - percentage english
"IP 10.0.0.1 is blocked",,negative - IP
"GPS 37.6173 N, 55.7558 E",,negative - coordinates formatted
"Meeting 14:00 CET",14:00,with tz
"Let's do 7am",07:00,short time english
"Call 3pm",15:00,short action
"Flight 14:20 departs",14:20,transport
"Train 18:05 arrives",18:05,transport
"Рейс в 09:30",09:30,transport russian
"Zoom at 6?",18:00,informal question assume pm
"Deadline: 23:59",23:59,deadline hh:mm
"Submit by 17:00 tomorrow",17:00,date+deadline
"Meeting at noon",12:00,english noon
"в 12 дня",12:00,russian noon
"around 3-ish",15:00,english colloquial (approx)
"приблизительно в 5",17:00,russian approximate
"half past four works",16:30,english phrase
"половина восьмого",19:30,russian phrase assume PM
"quarter to five?",16:45,english phrase
"без пятнадцати семь",06:45,russian idiom (edge)
"um 14 Uhr treffen wir uns",14:00,german
"à 14h30 on se retrouve",14:30,french
"a las 3pm, ¿te va?",15:00,spanish
"בשעה 3 נתראה",15:00,hebrew
"Italien: Ci vediamo alle 20:00",20:00,italian
"Português: Encontro às 14h30",14:30,portuguese
"Polski: Spotkanie o 17:00",17:00,polish
"Norsk: Møte kl 10:30",10:30,norwegian
"Turkish: Saat 9'da buluşalım",09:00,turkish
"Dutch: Afspraak om 15:00 uur",15:00,dutch
"Swedish: kl 9 på morgonen",09:00,swedish
"Japanese: 午後3時に会いましょう",15:00,japanese (non-latin)
"Chinese: 下午3点见",15:00,chinese
"Hindi: मिलते हैं 10 बजे",10:00,hindi
"Korean: 오후 4시에 만나요",16:00,korean
"Greek: Συνάντηση στις 14:00",14:00,greek
"Romanian: Întâlnire la 13:00",13:00,romanian
"Czech: Setkání v 11:00",11:00,czech
"Slovak: Stretnutie o 14:30",14:30,slovak
"Ukrainian: Зустріч о 16:00",16:00,ukrainian
"Spanish: ¿A las 14:30 te va bien?",14:30,spanish question
"French: Rendez-vous à 18h",18:00,french informal
"German: Halb drei passt?",14:30,german colloquial
"English: let's aim for 13:00",13:00,short label
"Bus leaves 07:42",07:42,transport
"Train departs 18:05",18:05,transport
"Flight at 14:20",14:20,transport
"Boarding 13:50",13:50,transport
"Gate closes 14:10",14:10,transport
"Ferry 09:00",09:00,transport
"Taxi pickup 07:30",07:30,transport
"Shuttle 06:00",06:00,transport
"Metro last train 23:45",23:45,transport
"Tram arrives 08:15",08:15,transport
"My bus is at 6:45am",06:45,transport casual
"Catching the 8:15 train",08:15,transport casual
"The 10:30 flight is delayed",10:30,transport casual
"Поезд в 16:20",16:20,transport russian
"Автобус отходит в 07:00",07:00,transport russian
"Рейс в 22:45",22:45,transport russian
"Паром в 09:00",09:00,transport russian
"Deadline 17:00",17:00,deadline
"Due by 5pm",17:00,deadline
"Submit before 23:59",23:59,deadline
"Finish by 18:00",18:00,deadline
"Complete by noon",12:00,deadline
"Hand in by 09:00",09:00,deadline
"Registration closes 17:00",17:00,deadline
"Application deadline 12:00",12:00,deadline
"Last submission 23:59",23:59,deadline
"Report due 14:00",14:00,deadline
"Дедлайн в 18:00",18:00,deadline russian
"Сдать до 23:59",23:59,deadline russian
"Закрытие регистрации в 12:00",12:00,deadline russian
"Reservation 20:00",20:00,restaurant
"Table for 2 at 7pm",19:00,restaurant
"Dinner reservation 19:30",19:30,restaurant
"Seating 18:30",18:30,restaurant
"Kitchen closes 22:30",22:30,restaurant
"Last orders 22:00",22:00,restaurant
"Brunch 11am",11:00,restaurant
"Lunch at 13:00",13:00,restaurant
"Столик на 20:00",20:00,restaurant russian
"Бронь на 19:30",19:30,restaurant russian
"Кухня закрывается в 23:00",23:00,restaurant russian
"Standup 10:15",10:15,agile meeting
"Daily at 09:30",09:30,agile meeting
"Retro 16:00",16:00,agile meeting
"Sprint planning 11:00",11:00,agile meeting
"Demo 15:00",15:00,agile meeting
"Sync 09:00",09:00,agile meeting
"1-on-1 at 14:00",14:00,meeting
"Check-in 10:00",10:00,meeting
"Kickoff 09:00",09:00,meeting
"Wrap-up 17:00",17:00,meeting
"Стендап в 10:00",10:00,agile russian
"Дейли в 09:30",09:30,agile russian
"Ретро в 16:00",16:00,agile russian
"Class starts 08:30",08:30,education
"Lecture 10:00",10:00,education
"Tutorial 14:00",14:00,education
"Seminar 13:30",13:30,education
"Lab 16:00",16:00,education
"Exam 09:00",09:00,education
"Office hours 15:00",15:00,education
"School ends 15:30",15:30,education
"Recess 10:15",10:15,education
"Graduation 11:00",11:00,education
"Урок в 08:30",08:30,education russian
"Лекция в 10:00",10:00,education russian
"Экзамен в 09:00",09:00,education russian
"Shipment ETA 14:00",14:00,logistics
"Pickup 10:00",10:00,logistics
"Delivery window 10:00-14:00",10:00;14:00,logistics range
"Dock appointment 06:00",06:00,logistics
"Warehouse opens 07:00",07:00,logistics
"Loading 08:00",08:00,logistics
"Dispatch 16:00",16:00,logistics
"Доставка в 14:00",14:00,logistics russian
"Склад открывается в 07:00",07:00,logistics russian
"Encontro às 14h30",14:30,portuguese
"Reunião às 9",09:00,portuguese
"Vamos às 18:00",18:00,portuguese
"Spotkanie o 17:00",17:00,polish
"Jestem wolny o 12:30",12:30,polish
"O której godzinie?",,negative - question without time
"Møte kl 10:30",10:30,norwegian
"Vi sees kl 18",18:00,norwegian
"Sastanak u 17:00",17:00,croatian
"Susret u 12:30",12:30,croatian
"Зустріч о 16:00",16:00,ukrainian
"о 9 ранку",09:00,ukrainian morning
"Întâlnire la 13:00",13:00,romanian
"Setkání v 11:00",11:00,czech
"Stretnutie o 14:30",14:30,slovak
"Tapaaminen klo 16:00",16:00,finnish
"Kello 9 aamulla",09:00,finnish morning
"Pertemuan jam 15:00",15:00,indonesian
"Port 8080",,negative - network port
"Port 443",,negative - network port
"Port 22",,negative - network port
"Status 200",,negative - http status
"Status 404",,negative - http status
"Status 500",,negative - http status
"Error 500",,negative - error code
"Error 404",,negative - error code
"Error code 503",,negative - error code
"HTTP 200",,negative - http code
"HTTP 301",,negative - http code
"Response 200 OK",,negative - http response
"Ticket #404",,negative - ticket number
"Ticket #1234",,negative - ticket number
"Issue #500",,negative - issue number
"PR #123",,negative - pull request
"Bug #456",,negative - bug number
"Task #789",,negative - task number
"Тикет #404",,negative - ticket russian
"Задача #123",,negative - task russian
"Wait 10s",,negative - duration seconds
"Wait 5 minutes",,negative - duration
"Timer 15m",,negative - timer duration
"Countdown 30s",,negative - countdown
"Delay 500ms",,negative - delay
"Timeout 30s",,negative - timeout
"Limit 50mph",,negative - speed limit
"Speed 100km/h",,negative - speed
"Pace 5:30/km",,negative - running pace
"Distance 10km",,negative - distance
"Height 6'1",,negative - height
"Weight 180lbs",,negative - weight
"Temp 98.6",,negative - temperature
"Room 303",,negative - room number
"Room 101",,negative - room number
"Floor 5",,negative - floor
"Seat 14A",,negative - seat
"Platform 9",,negative - platform
"Gate 24",,negative - gate
"Terminal 5",,negative - terminal
"Apollo 13",,negative - mission name
"Catch-22",,negative - book/movie title
"Ocean's 11",,negative - movie title
"District 9",,negative - movie title
"Страница 15",,negative - page russian
"Комната 303",,negative - room russian
"Версия 2.0",,negative - version russian
"Ошибка 500",,negative - error russian
"Can we do 12:15?",12:15,bare HH:MM question
"How about 14:00?",14:00,bare HH:MM question
"What about 3pm?",15:00,bare time question
"Is 10am good?",10:00,bare time question
"А как насчет 14:00?",14:00,bare HH:MM russian
"Может в 15:00?",15:00,bare time russian
"В 12:15 подойдет?",12:15,bare time russian
"Meeting with product at 09:00",09:00,meeting
"Call mom at 7pm",19:00,informal
"Please arrive by 08:30",08:30,deadline
"Train departs 06:45",06:45,transport
"Flight LX123 at 14:20",14:20,transport flight
"Dinner reservation for 2 at 20:00",20:00,restaurant
"Lunch at 12:30?",12:30,restaurant question
"Standup 09:15",09:15,agile
"Demo scheduled for 15:00",15:00,meeting
"Office hours 16:00",16:00,education
"Submit report by 23:59",23:59,deadline
"Boarding time 13:50",13:50,transport
"Shuttle pickup 06:00",06:00,transport
"Ferry leaves 09:00",09:00,transport
"Reservation 19:00 for table 5",19:00,restaurant
"Book call at noon",12:00,meeting informal
"Let's meet at half past two",14:30,english colloquial
"Quarter to five works for me",16:45,english phrase
"Встречаемся в 18:00",18:00,russian
"Созвон завтра в 10:00",10:00,russian
"Рейс вылетает в 21:45",21:45,russian transport
"Доставка ожидается в 14:00",14:00,logistics russian
"Запись начнётся в 11:00",11:00,event russian
"Reunión a las 17:00",17:00,spanish
"Quedamos a las 15:30",15:30,spanish
"Clase empieza a las 08:00",08:00,spanish education
"Rendez-vous à 11:30",11:30,french
"RDV à 14h",14:00,french informal
"Réunion 09:00 CET",09:00,with tz
"Treffen um 10:00",10:00,german
"Halb neun passt",08:30,german colloquial
"Incontro alle 19:30",19:30,italian
"Cena alle 20:30",20:30,italian restaurant
"Encontro às 18:00",18:00,portuguese
"Spotkanie o 16:00",16:00,polish
"Møte kl 13:15",13:15,norwegian
"Sastanak u 12:00",12:00,croatian
"미팅 오후 3시에",15:00,korean
"午後5時に会いましょう",17:00,japanese
"下午 4 点见",16:00,chinese
"मिलते हैं सुबह 10 बजे",10:00,hindi
"Συνάντηση στις 14:00",14:00,greek
"Întâlnire la ora 09:30",09:30,romanian
"Setkání v 11:00",11:00,czech
"Stretnutie o 16:00",16:00,slovak
"Kokoontuminen klo 15:00",15:00,finnish
"Pertemuan jam 08:30",08:30,indonesian
"Let's do 5pm on Friday",17:00,english
"Can you do 08:00 tomorrow?",08:00,english question
"Is 19:30 OK?",19:30,english question
"Please show up by 07:00",07:00,english deadline
"Delivery window 10:00-14:00",10:00;14:00,logistics range
"Pickup between 15:00 and 16:00",15:00;16:00,logistics range
"Gate closes 14:10",14:10,transport
"Last train 23:50",23:50,transport
"Breakfast at 08:00",08:00,restaurant
"Brunch 11:00 Sunday",11:00,restaurant
"Reservation confirmed at 19:45",19:45,restaurant
"Table booked for 18:30",18:30,restaurant
"Class starts 09:00 Monday",09:00,education
"Exam 13:00 next Wednesday",13:00,education
"Lab at 14:15",14:15,education
"Office hours 16:30 today",16:30,education
"Flight lands 22:05",22:05,transport
"Taxi at 07:20 please",07:20,transport
"Pick me up at 06:40",06:40,transport
"Run at 06:00 tomorrow",06:00,activity
"Gym class 18:00",18:00,activity
"Yoga 07:30",07:30,activity
"Meditation at 06:00",06:00,activity
"Meeting A at 10:00",10:00,meeting
"Meeting B at 11:15",11:15,meeting
"One-on-one 14:00",14:00,meeting
"Customer call 15:30",15:30,meeting
"Check-in 09:45",09:45,meeting
"Sync 08:30",08:30,meeting
"Wrap at 17:30",17:30,meeting
"Sprint planning 10:00",10:00,agile
"Retro 16:00",16:00,agile
"Daily 09:30",09:30,agile
"Demo 15:00",15:00,agile
"Deadline: submit by 23:59",23:59,deadline
"Finish PR by 18:00",18:00,deadline
"Publish at 07:00 UTC",07:00,with tz
"System maintenance 02:00",02:00,ops
"Backup starts 03:30",03:30,ops
"Reports run at 00:15",00:15,ops
"New release at 21:00",21:00,release
"Deployment 22:00 UTC",22:00,release tz
"Review at 14:00 BST",14:00,with tz
"Interview 10:30",10:30,recruiting
"Phone screen at 16:00",16:00,recruiting
"Offer call 11:00",11:00,recruiting
"Start date 09:00 on Monday",09:00,onboarding
"Orientation 13:00",13:00,onboarding
"Volunteer meetup 17:00",17:00,event
"Community call 19:00",19:00,event
"Townhall 12:00",12:00,event
"AMA at 20:00",20:00,event
"Office party at 18:00",18:00,social
"Happy hour 17:30",17:30,social
"Coffee chat 10:00",10:00,social
"Mentorship 15:00",15:00,hr
"Payroll run 08:00",08:00,finance
"Invoice due 17:00",17:00,finance
"Payment processed at 09:00",09:00,finance
"Reminder: renew by 12:00",12:00,reminder
"Subscription renews at 00:00",00:00,reminder
"Trash pickup 06:00 Monday",06:00,service
"Pool opens 07:00",07:00,facility
"Gym closes 22:00",22:00,facility
"Maintenance at 10:00",10:00,facility
"Window cleaning 08:00",08:00,facility
"Garbage collection 05:30",05:30,facility
"Meter reading 14:00",14:00,service
"Doctor appointment 11:45",11:45,personal
"Dentist 15:00",15:00,personal
"Vet 09:00",09:00,personal
"Haircut 17:00",17:00,personal
"Mechanic 08:30",08:30,personal
"Court at 09:00",09:00,legal
"Hearing 13:30",13:30,legal
"Notary 10:00",10:00,legal
"Signing at 15:00",15:00,legal
"Consultation 11:00",11:00,legal
"Support window 09:00-17:00",09:00;17:00,support hours
"Helpline opens at 08:00",08:00,support
"Call center 09:00",09:00,support
"Office opens 09:00",09:00,business
"Closing 18:00",18:00,business
"Market opens 07:00",07:00,business
"Market closes 17:00",17:00,business
"Trading session 09:30",09:30,finance market
"Lunch break 12:00-13:00",12:00;13:00,break range
"Shift starts 22:00",22:00,shift
"Shift ends 06:00",06:00,shift
"Overnight shift 23:00",23:00,shift
"Call center 24/7 - see schedule",,negative - mentions schedule but no time
"Payment 14:00 processed",14:00,finance event
"Invoice generation 02:30",02:30,finance
"Report generation at 03:00",03:00,automation
"Cron job 04:00",04:00,automation
"Reboot scheduled 01:00",01:00,ops
"Patch window 02:00-03:00",02:00;03:00,ops range
"Database migration 00:00",00:00,ops
"Sync at 05:00 UTC",05:00,with tz
"Backup 23:00 UTC",23:00,with tz
"Meeting in 30 mins",,negative - relative time without absolute
"Call in an hour",,negative - relative time
"See you later",,negative - vague
"Tomorrow morning",,negative - vague date without time
"Next week",,negative - vague
"I'll be late",,negative - vague
"Around noon",12:00,approximate mapped to 12:00
"About 7pm",19:00,approximate
"Circa 06:00",06:00,approximate
"Около 15:00",15:00,approximate russian
"Приблизительно в 9 утра",09:00,approximate russian
"Half past ten",10:30,english phrase
"Половина третьего",14:30,russian phrase
"Без четверти восемь",07:45,russian phrase
"Четверть на шесть",05:45,russian phrase
"Half past seven",19:30,english evening assumed
"A las 12 del mediodía",12:00,spanish noon
"A la 1 de la tarde",13:00,spanish afternoon
"Alle 14:00 ci vediamo",14:00,italian
"Vediamoci alle 18:00",18:00,italian
"Kl. 09:00 ser vi seen",09:00,norwegian localized
"Vi ses kl 15",15:00,danish
"Møtes kl 17:00",17:00,norwegian
"Sesión a las 18:30",18:30,spanish
"작업 시작 08:00",08:00,korean
"회의는 14:00에 시작됩니다",14:00,korean formal
"会議は午後3時です",15:00,japanese formal
"上映は19:00から",19:00,japanese event
"放映は20:00です",20:00,chinese event
"演出は21:30",21:30,japanese
"演出は22:00",22:00,chinese
"Let's pencil in 10:00",10:00,english tentative
"Tentatively 11:00 works",11:00,english tentative
"Proposed time 13:00",13:00,proposal
"Preferred slot 14:00",14:00,preference
"Alternative 16:00",16:00,alternative
"Final slot 09:00",09:00,finalization
"Hold at 12:30",12:30,hold
"Reserve 19:00 for client",19:00,client
"Client meeting 15:00",15:00,client
"Board meeting 09:00",09:00,board
"Strategy offsite 08:00",08:00,offsite
"Shuttle departs 07:15",07:15,transport
"Coach leaves 06:50",06:50,transport
"Arrive by 10:00 for check-in",10:00,checkin
"Meet at reception 09:30",09:30,reception
"Performance at 20:00",20:00,performance
"Soundcheck 16:00",16:00,performance
"Doors open 18:30",18:30,performance
"Show starts 19:30",19:30,performance
"Curtain 20:00",20:00,performance
"Afterparty 22:30",22:30,social
"Pickup at terminal 3 at 05:00",05:00,airport
"Lounge access from 15:00",15:00,airport
"Customs opens 06:00",06:00,airport
"Boarding begins 12:40",12:40,airport
"Departure 13:05",13:05,airport
"Arrival 17:55",17:55,airport
"Transfer at 18:30",18:30,airport
"Layover 02:00",02:00,airport
"Flight time 21:20",21:20,flight
"Baggage claim 18:15",18:15,airport
"Check-in closes 11:45",11:45,airport
"Security opens at 04:00",04:00,airport
"Port 8080 is open",,negative - network port
"Service on 443",,negative - port referenced
"Connection to 127.0.0.1",,negative - IP
"Ping 192.168.0.1",,negative - IP
"HTTP 500 returned",,negative - http status
"Status 404 found",,negative - http status
"Error code 400",,negative - error code
"Version 2.1.3 released",,negative - software version
"v1.0.0-beta",,negative - semver
"Build #234 failed",,negative - build id
"Commit 7a9c2d4",,negative - commit hash
"PR #42 merged",,negative - pr
"Ticket 9876",,negative - ticket
"Invoice #5555",,negative - invoice
"Order 1001 shipped",,negative - order id
"Room 405 booked",,negative - room
"Seat 12B assigned",,negative - seat
"Platform 7",,negative - platform
"Floor 3",,negative - floor
"Gate B12",,negative - gate
"Level 2 parking",,negative - parking
"Apartment 4A",,negative - apartment
"Unit 22",,negative - unit
"Lot 55",,negative - lot
"VIN 1HGCM82633A004352",,negative - vehicle id
"ISBN 978-3-16-148410-0",,negative - isbn
"ISSN 1234-5678",,negative - issn
"Page 45 of 200",,negative - page
"Section 3.2",,negative - doc section
"Paragraph 4",,negative - doc part
"Chapter 7",,negative - book chapter
"Episode 5",,negative - episode
"Season 2",,negative - season
"S01E05",,negative - tv notation
"Score 3:1 final",,negative - sports score
"Match 2-1",,negative - sports score short
"Result 6-4",,negative - result
"Won 4-3 in sets",,negative - sports
"Set 3-2",,negative - tennis set
"Goals 2:1",,negative - goals
"Total 1000 units",,negative - quantity
"Qty 30",,negative - quantity
"Pieces 20",,negative - quantity
"Batch 400",,negative - batch
"Lot number 123A",,negative - lot
"Serial 000123",,negative - serial
"SN: 987654",,negative - serial
"SKU 12345",,negative - sku
"ASIN B08XYZ",,negative - asin
"EAN 4006381333931",,negative - ean
"UPC 036000291452",,negative - upc
"Cost $14.99",,negative - price
"Price 19.99 EUR",,negative - price
"€9.50",,negative - price
"£5.00",,negative - price
"Discount 10%",,negative - percentage
"Off 25% until Friday",,negative - percentage
"Tax 7% applied",,negative - tax
"VAT 20%",,negative - vat
"Rate 4.5% APR",,negative - rate
"Interest 3.2%",,negative - finance
"ROI 12%",,negative - finance
"Balance 1000.00",,negative - finance
"USD 1000",,negative - currency
"EUR 850",,negative - currency
"JPY 10000",,negative - currency
"CNY 700",,negative - currency
"INR 7500",,negative - currency
"Exchange rate 1.12",,negative - rate
"Temperature 23.5C",,negative - temp
"Temp 75F",,negative - temp
"Humidity 40%",,negative - weather
"Wind 10 km/h",,negative - weather
"Pressure 1013 hPa",,negative - weather
"UV index 5",,negative - weather
"Visibility 10km",,negative - weather
"Precipitation 2mm",,negative - weather
"Sunrise 06:12",06:12,astronomy
"Sunset 17:45",17:45,astronomy
"Moonrise 21:20",21:20,astronomy
"Moonset 06:40",06:40,astronomy
"Tide high 09:00",09:00,astronomy tide
"Tide low 15:30",15:30,astronomy tide
"Eclipse starts 02:00",02:00,astronomy
"Conjunction 04:30",04:30,astronomy
"Transit 11:10",11:10,astronomy
"Observation 20:45",20:45,astronomy
"Event 00:00 UTC",00:00,utc
"Window 03:00-05:00 UTC",03:00;05:00,utc range
"Maintenance 22:00-23:30 UTC",22:00;23:30,utc range
"Downtime 01:00-02:00",01:00;02:00,downtime range
"Reboot at 02:15 UTC",02:15,ops tz
"Patch at 03:00 BST",03:00,ops tz
"Meeting at 09:00 CEST",09:00,meeting tz
"Call at 18:00 PST",18:00,meeting tz
"Conference 10:00 EST",10:00,conference tz
"Webinar 13:00 GMT+1",13:00,webinar tz
"Livestream 20:00 CET",20:00,stream tz
"Stream starts 21:00 UTC",21:00,stream utc
"Charity run 07:00",07:00,event
"Volunteer shift 09:00",09:00,event
"Bake sale 11:00",11:00,event
"Community cleanup 08:00",08:00,event
"Blood drive 10:00",10:00,event
"Garage sale 09:00",09:00,event
"Flea market 07:00",07:00,market
"Farmers market 06:00",06:00,market
"Concert 19:00",19:00,concert
"Festival 12:00",12:00,festival
"Parade 14:00",14:00,parade
"Fireworks 21:00",21:00,celebration
"Ceremony 16:00",16:00,ceremony
"Award show 20:30",20:30,awards
"Red carpet 18:00",18:00,awards
"Press conference 09:30",09:30,press
"Media briefing 11:00",11:00,press
"Interview 14:00",14:00,press
"Quick chat 10:00",10:00,casual
"Tea at 16:00",16:00,casual
"Walk at 18:30",18:30,casual
"Dinner 19:00",19:00,casual
"Movie 21:00",21:00,casual
"Cinema 20:00",20:00,casual
"Showtime 19:45",19:45,casual
"Premiere 20:15",20:15,casual
"Preview 17:45",17:45,casual
"Rehearsal 15:00",15:00,arts
"Dress rehearsal 18:00",18:00,arts
"Tech rehearsal 10:00",10:00,arts
"Photo call 12:30",12:30,media
"Interview slot 13:45",13:45,media
"Recording 09:00",09:00,media
"Studio time 14:00",14:00,media
"Mixing 16:00",16:00,audio
"Mastering 11:00",11:00,audio
"Release party 21:00",21:00,release
"Listening session 19:00",19:00,release
"Listening at 18:00",18:00,release
"Premiere screening 20:30",20:30,screening
"Q&A at 22:00",22:00,qanda
"Panel 15:00",15:00,panel
"Workshop 10:30",10:30,workshop
"Hands-on 14:00",14:00,workshop
"Breakout 11:15",11:15,conference
"Lightning talks 09:00",09:00,conference
"Keynote 10:00",10:00,conference
"Expo opens 09:30",09:30,expo
"Booth setup 07:00",07:00,expo
"Press check 12:00",12:00,expo
"VIP tour 16:00",16:00,expo
"After event 22:30",22:30,expo
"Networking 18:00",18:00,networking
"Speed dating 20:00",20:00,social
"Mixer 19:00",19:00,social
"Roundtable 15:00",15:00,discussion
"Fireside chat 17:00",17:00,discussion
"Townhall 11:00",11:00,townhall
"Company all-hands 09:00",09:00,all-hands
"CEO AMA 12:00",12:00,ama
"Investor call 14:00",14:00,investor
"Earnings call 16:00",16:00,finance
"Quarterly review 10:00",10:00,finance
"Strategy meeting 13:00",13:00,strategy
"Ops sync 08:00",08:00,ops
"Eng standup 09:30",09:30,engineering
"Design critique 15:00",15:00,design
"Product review 11:00",11:00,product
"Roadmap 14:30",14:30,product
"Planning 10:00",10:00,planning
"Execution 16:00",16:00,execution
"Retrospective 17:00",17:00,retro
"Celebrate 18:00",18:00,celebration
"Offsite starts 09:00",09:00,offsite
"Retreat 08:00",08:00,retreat
"Team lunch 12:30",12:30,team
"Volunteer day 08:00",08:00,volunteer
"Hackathon kickoff 09:00",09:00,hackathon
"Demo day 16:00",16:00,hackathon
"Prize ceremony 18:00",18:00,hackathon
"Closing remarks 19:00",19:00,hackathon
"Feedback session 15:30",15:30,feedback
"Office hours 13:00",13:00,office
"Mentor office 14:00",14:00,mentor
