phrase,times,notes
access_log: 2026-01-21 12:15:30 GET /,,negative - web log
audit 2026-01-21T12:15:30Z,,negative - audit ISO
backup-2026-01-20-030000.log,,negative - filename with timestamp
best before 2026-12-31,,negative - best before
build 2026-01-21-121530,,negative - build tag
cancel by 2026-02-01,,negative - cancel date
created_at: 2026-01-21T12:15:30Z,,negative - created time
deadline 2024-12-31,,negative - date
dividend record date 2026-02-01,,negative - finance date
event 2021-09-01,,negative - date
ex-dividend 2026-02-02,,negative - ex-dividend date
expiry 2026-10-01,,negative - expiry date
grant 2026-01-15,,negative - grant date
invoice 2026-01-21,,negative - invoice with date
kernel: [2026-01-21 12:15:30] panic,,negative - kernel like log
last_modified: 2026-01-21 12:15:30,,negative - file metadata
log.2026-01-21.121530.gz,,negative - rotated log
"log: 2026-01-21 12:15:30, INFO",,negative - log line
logged 2026-01-21 12:15:30 by user,,negative - log example
logs from 2026-01-21 12:15:30,,negative - ISO timestamp
manifest 2026-01-20,,negative - manifest
mfg 2024-05-12,,negative - manufacture date
opt-in ends 2026-01-31,,negative - opt-in
pages 10-12,,negative - page range
range 10-20,,negative - numeric range
renewal 2026-01-01,,negative - renewal date
report_2026-01-21T12-15-30.csv,,negative - report filename
room 10-14,,negative - room range
schema 2026-01-01,,negative - schema version date
score 10-1,,negative - sports score
score 3-2,,negative - score
serial 00-11-22,,negative - serial format
snapshot@2026-01-21T12:15:30Z,,negative - tag with ISO
support until 2028-01-01,,negative - support end
systemd[1]: 2026-01-21T12:15:30Z started,,negative - systemd log
timestamp: 2026-01-21T12:15:30Z,,negative - labeled timestamp
use by 2027-01-01,,negative - use by
warranty until 2026-12-31,,negative - warranty end
won 2-1,,negative - sports score
won 5-0,,negative - sports score
won 6-4 6-3,,negative - tennis result
Позвони по 8-800-555-35-35,,negative - phone number
remind me 3 hours before,,negative - relative duration
Ch. 12:15,,negative - chapter:verse reference (edge)
Duration 12:15,,negative - duration (mm:ss) (edge)
Final 12:15,,negative - match result
John 3:16,,negative - bible verse (chapter:verse)
Length 00:45,,negative - duration in minutes:seconds (edge)
"Log 12:15:30,456",,negative - timestamp with ms (edge)
Score 12:15,,negative - sports score (edge)
Split 1:23,,negative - split/duration (edge)
Timecode 01:23:45:12,,negative - media timecode not clock time (edge)
Track 03:15,,negative - music duration mm:ss not clock time (edge)
sometime after 15:00,,negative - relative start (ambiguous)
Счёт 12:15,,negative - sports score / result (looks like HH:MM but context = score) (edge)
"ETA 1500Z",15:00,military Z
"Departs 0745 local",07:45,military no colon
"Shift starts 2200",22:00,military shift
"at 0700 hours",07:00,military format
"at 1900 hours",19:00,military format
"I'll be there at 1500",15:00,military numeric
"meet at fifteen hundred",15:00,military textual
"Jestem wolny o 12:30",12:30,polish
"Spotkanie o 17:00",17:00,polish
"Bel me om 9 uur",09:00,dutch
"Afspraak om 15:00 uur",15:00,dutch
"Bus leaves 07:42",07:42,transport
"Train departs 18:05",18:05,transport
"Ferry leaves 09:00",09:00,transport
"Shuttle departs 07:15",07:15,transport
"Shift ends 06:00",06:00,shift
"Overnight shift 23:00",23:00,shift
"o 9 ранку",09:00,ukrainian morning
"Θα σε πάρω στις 9 το πρωί",09:00,greek morning
"शाम 7 बजे",19:00,hindi evening
"मिलते हैं 10 बजे",10:00,hindi
"Flight BA123 at 14:20",14:20,transport flight
"Boarding 13:50",13:50,transport
"Gate closes 14:10",14:10,transport
"Appt 10:45",10:45,medical shorthand
"Happy hour 5-7pm",17:00;19:00,range informal
"Open 9-5",09:00;17:00,range work
"Kickoff 20:45",20:45,sports
"Showtime 21:15",21:15,cinema
"Wrap-up 16:45",16:45,conference
"Standup 10:15",10:15,agile
"Interview 10:00",10:00,hr
"Pickup 15:15",15:15,personal
"Delivery 10-12",10:00;12:00,range delivery
"Tech arrives 8-12",08:00;12:00,range window
"Homework due 23:59",23:59,deadline
"Kitchen closes 22:30",22:30,restaurant
"Reservation 20:00",20:00,restaurant
"Order by 11am for same-day",11:00,ecommerce
"Sale ends 23:59",23:59,ecommerce
"Auction closes 21:00",21:00,auction
"Registration ends 17:00",17:00,deadline
"School ends 15:30",15:30,education
